,baseline_validity_rate,baseline_coverage,baseline_mutation_score,spec_NoSUT_validity_rate,spec_NoSUT_coverage,spec_NoSUT_mutation_score,spec_SUT_validity_rate,spec_SUT_coverage,spec_SUT_mutation_score,hybrid_validity_rate,hybrid_coverage,hybrid_mutation_score
baseline_validity_rate,1.0,-0.06174615408623876,-0.01605974509959842,0.22338997949152428,-0.044757297571206035,0.08517511381830556,-0.09036063515463805,-0.01813133427325346,-0.1130971503519825,0.04499886435653425,0.10942117570214879,0.05189632813601061
baseline_coverage,-0.06174615408623876,1.0,0.4327833163465778,0.16970340015933172,0.16552963830076645,0.09513315917167345,0.09914607452354451,-0.03443215642301212,0.03249297316238409,-0.013545471235717694,0.06933913595600433,0.08245193518215334
baseline_mutation_score,-0.01605974509959842,0.4327833163465778,1.0,0.13902740321361942,0.19748267595502764,0.8052622283433919,-0.0067364231836981765,0.036108994883536874,0.2838556972866995,-0.06108995047312768,0.17518997874352468,0.8192736462428339
spec_NoSUT_validity_rate,0.22338997949152428,0.16970340015933172,0.13902740321361942,1.0,0.034969639186230625,0.06071376814194644,-0.13008549596941885,0.0006418136905785353,-0.071632164151064,-0.025694151229967228,0.01650105542567106,0.05161011063778394
spec_NoSUT_coverage,-0.044757297571206035,0.16552963830076645,0.19748267595502764,0.034969639186230625,1.0,0.2018177639184716,0.013277194768630615,0.03722303427465309,0.04991369582665389,-0.018163222750242108,0.5166579936609932,0.32760960167475855
spec_NoSUT_mutation_score,0.08517511381830556,0.09513315917167345,0.8052622283433919,0.06071376814194644,0.2018177639184716,1.0,-0.06272567291556387,0.06830542063756223,0.28126531712402963,-0.06384210778192763,0.19218380483170722,0.7982749221713872
spec_SUT_validity_rate,-0.09036063515463805,0.09914607452354451,-0.0067364231836981765,-0.13008549596941885,0.013277194768630615,-0.06272567291556387,1.0,-0.1270489705596312,0.5508280742739058,0.10923914228494742,-0.07599769981298189,-0.06785575481121775
spec_SUT_coverage,-0.01813133427325346,-0.03443215642301212,0.036108994883536874,0.0006418136905785353,0.03722303427465309,0.06830542063756223,-0.1270489705596312,1.0,0.5077288065023122,-0.044183992360960586,-0.024075683312138652,0.08073754940440757
spec_SUT_mutation_score,-0.1130971503519825,0.03249297316238409,0.2838556972866995,-0.071632164151064,0.04991369582665389,0.28126531712402963,0.5508280742739058,0.5077288065023122,1.0,0.03304208471827683,-0.021319165548121032,0.2709585090207471
hybrid_validity_rate,0.04499886435653425,-0.013545471235717694,-0.06108995047312768,-0.025694151229967228,-0.018163222750242108,-0.06384210778192763,0.10923914228494742,-0.044183992360960586,0.03304208471827683,1.0,-0.013150632202297846,-0.060105133245962755
hybrid_coverage,0.10942117570214879,0.06933913595600433,0.17518997874352468,0.01650105542567106,0.5166579936609932,0.19218380483170722,-0.07599769981298189,-0.024075683312138652,-0.021319165548121032,-0.013150632202297846,1.0,0.5556365983405508
hybrid_mutation_score,0.05189632813601061,0.08245193518215334,0.8192736462428339,0.05161011063778394,0.32760960167475855,0.7982749221713872,-0.06785575481121775,0.08073754940440757,0.2709585090207471,-0.060105133245962755,0.5556365983405508,1.0
