,count,missing,zeros,mean,median,variance,std,min,max,p25,p75,hist_buckets
baseline_validity_rate,164,2,0,93.76543209876543,100.0,139.14960509163404,11.796169085412181,40.0,100.0,100.0,100.0,"{'0–20': np.int64(0), '20–40': np.int64(0), '40–60': np.int64(1), '60–80': np.int64(12), '80–100': np.int64(149)}"
baseline_coverage,164,0,2,98.53658536585365,100.0,125.07227293131827,11.183571564188172,0.0,100.0,100.0,100.0,"{'0–20': np.int64(2), '20–40': np.int64(0), '40–60': np.int64(0), '60–80': np.int64(1), '80–100': np.int64(161)}"
baseline_mutation_score,164,0,8,86.72447744264588,100.0,558.3782793445762,23.630029186282783,0.0,100.0,83.08823529411765,100.0,"{'0–20': np.int64(8), '20–40': np.int64(1), '40–60': np.int64(5), '60–80': np.int64(18), '80–100': np.int64(132)}"
spec_NoSUT_validity_rate,164,5,0,74.27287422570443,75.0,229.71407401853972,15.15632125611422,33.333333333333336,100.0,66.66666666666667,83.33333333333333,"{'0–20': np.int64(0), '20–40': np.int64(2), '40–60': np.int64(23), '60–80': np.int64(74), '80–100': np.int64(60)}"
spec_NoSUT_coverage,164,5,0,99.67924528301887,100.0,4.953427274898495,2.225629635608426,75.0,100.0,100.0,100.0,"{'0–20': np.int64(0), '20–40': np.int64(0), '40–60': np.int64(0), '60–80': np.int64(1), '80–100': np.int64(158)}"
spec_NoSUT_mutation_score,164,0,11,84.27627450840453,100.0,732.1258869563732,27.057824874818987,0.0,100.0,81.81818181818181,100.0,"{'0–20': np.int64(11), '20–40': np.int64(3), '40–60': np.int64(7), '60–80': np.int64(16), '80–100': np.int64(127)}"
spec_SUT_validity_rate,164,1,3,80.51806407634629,100.0,1598.891666035497,39.986143425385464,-10.0,100.0,100.0,100.0,"{'0–20': np.int64(6), '20–40': np.int64(3), '40–60': np.int64(2), '60–80': np.int64(1), '80–100': np.int64(131)}"
spec_SUT_coverage,164,1,2,90.8159509202454,100.0,549.0646822691813,23.43212927305543,0.0,100.0,100.0,100.0,"{'0–20': np.int64(6), '20–40': np.int64(6), '40–60': np.int64(6), '60–80': np.int64(6), '80–100': np.int64(139)}"
spec_SUT_mutation_score,164,1,42,59.103155626263394,79.54545454545455,1830.694266479518,42.786613169068644,0.0,100.0,0.0,100.0,"{'0–20': np.int64(51), '20–40': np.int64(8), '40–60': np.int64(5), '60–80': np.int64(18), '80–100': np.int64(81)}"
hybrid_validity_rate,164,4,0,99.87739234449761,100.0,1.2015266053386766,1.0961416903569887,89.47368421052632,100.0,100.0,100.0,"{'0–20': np.int64(0), '20–40': np.int64(0), '40–60': np.int64(0), '60–80': np.int64(0), '80–100': np.int64(160)}"
hybrid_coverage,164,0,4,97.3170731707317,100.0,242.68412389645377,15.57832224266958,0.0,100.0,100.0,100.0,"{'0–20': np.int64(4), '20–40': np.int64(0), '40–60': np.int64(0), '60–80': np.int64(1), '80–100': np.int64(159)}"
hybrid_mutation_score,164,0,10,86.40754608105885,100.0,634.8953587488402,25.19712997047164,0.0,100.0,84.2948717948718,100.0,"{'0–20': np.int64(10), '20–40': np.int64(0), '40–60': np.int64(5), '60–80': np.int64(18), '80–100': np.int64(131)}"
