problem_id,baseline_validity_rate,baseline_passing_tests,baseline_total_tests,baseline_coverage,baseline_mutation_score,spec_NoSUT_validity_rate,spec_NoSUT_passing_tests,spec_NoSUT_total_tests,spec_NoSUT_coverage,spec_NoSUT_mutation_score,spec_SUT_validity_rate,spec_SUT_passing_tests,spec_SUT_total_tests,spec_SUT_coverage,spec_SUT_mutation_score,hybrid_validity_rate,hybrid_passing_tests,hybrid_total_tests,hybrid_coverage,hybrid_mutation_score,delta_hybrid_vs_baseline,delta_NoSUT_vs_baseline,delta_SUT_vs_baseline,delta_NoSUT_vs_SUT,delta_hybrid_vs_SUT,delta_variance
HumanEval_0,100.0,10,10,100.0,100.0,80.0,8,10,100.0,83.33333333333333,100.0,10,10,100.0,83.33333333333333,100.0,18,18,100.0,100.0,0.0,-16.66666666666667,-16.66666666666667,0.0,16.66666666666667,92.59259259259264
HumanEval_1,100.0,10,10,100.0,100.0,58.333333333333336,7,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,18,18,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_10,100.0,10,10,100.0,78.57142857142857,54.54545454545455,6,11,100.0,71.42857142857143,100.0,10,10,100.0,78.57142857142857,,0,0,0.0,0.0,-78.57142857142857,-7.142857142857139,0.0,-7.142857142857139,-78.57142857142857,1887.7551020408164
HumanEval_100,100.0,10,10,100.0,100.0,66.66666666666667,6,9,100.0,100.0,100.0,10,10,100.0,100.0,100.0,17,17,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_101,100.0,10,10,100.0,100.0,72.72727272727273,8,11,100.0,100.0,100.0,10,10,100.0,100.0,100.0,19,19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_102,80.0,8,10,100.0,100.0,66.66666666666667,8,12,100.0,100.0,100.0,10,10,12.0,0.0,100.0,18,18,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_103,80.0,8,10,100.0,100.0,72.72727272727273,8,11,100.0,100.0,100.0,10,10,100.0,100.0,100.0,17,17,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_104,70.0,7,10,100.0,100.0,66.66666666666667,6,9,100.0,100.0,100.0,10,10,100.0,100.0,100.0,15,15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_105,100.0,10,10,100.0,81.81818181818181,80.0,8,10,100.0,100.0,100.0,10,10,100.0,100.0,100.0,19,19,100.0,100.0,18.181818181818187,18.181818181818187,18.181818181818187,0.0,0.0,0.0
HumanEval_106,100.0,10,10,100.0,96.15384615384616,75.0,6,8,100.0,96.15384615384616,-10.0,-1,10,100.0,0.0,100.0,17,17,100.0,96.15384615384616,0.0,0.0,-96.15384615384616,96.15384615384616,96.15384615384616,3081.854043392506
HumanEval_107,100.0,10,10,100.0,100.0,45.45454545454545,5,11,100.0,100.0,-10.0,-1,10,100.0,0.0,100.0,16,16,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_108,100.0,10,10,100.0,66.66666666666667,100.0,13,13,100.0,77.77777777777777,-10.0,-1,10,100.0,0.0,100.0,23,23,100.0,77.77777777777777,11.1111111111111,11.1111111111111,-66.66666666666667,77.77777777777777,77.77777777777777,2016.460905349794
HumanEval_109,100.0,10,10,100.0,92.3076923076923,100.0,11,11,100.0,92.3076923076923,20.0,2,10,100.0,61.53846153846154,100.0,21,21,100.0,92.3076923076923,0.0,0.0,-30.769230769230766,30.769230769230766,30.769230769230766,315.58185404339247
HumanEval_11,100.0,10,10,100.0,100.0,66.66666666666667,8,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,19,19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_110,100.0,10,10,100.0,100.0,83.33333333333333,10,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,21,21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_111,100.0,10,10,100.0,85.71428571428571,70.0,7,10,100.0,85.71428571428571,100.0,10,10,100.0,85.71428571428571,100.0,18,18,100.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_112,100.0,10,10,100.0,100.0,83.33333333333333,10,12,100.0,100.0,100.0,10,10,100.0,100.0,90.9090909090909,20,22,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_113,100.0,10,10,100.0,100.0,100.0,12,12,100.0,100.0,100.0,10,10,67.0,5.2631578947368425,100.0,22,22,100.0,100.0,0.0,0.0,-94.73684210526315,94.73684210526315,94.73684210526315,2991.68975069252
HumanEval_114,100.0,10,10,100.0,88.88888888888889,100.0,10,10,100.0,88.88888888888889,-10.0,-1,10,100.0,0.0,100.0,20,20,100.0,88.88888888888889,0.0,0.0,-88.88888888888889,88.88888888888889,88.88888888888889,2633.744855967078
HumanEval_115,100.0,10,10,100.0,100.0,60.0,6,10,100.0,100.0,100.0,10,10,100.0,100.0,100.0,17,17,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_116,100.0,10,10,100.0,66.66666666666667,60.0,6,10,100.0,33.333333333333336,100.0,10,10,100.0,33.333333333333336,100.0,14,14,100.0,66.66666666666667,0.0,-33.333333333333336,-33.333333333333336,0.0,33.333333333333336,370.37037037037044
HumanEval_117,70.0,7,10,100.0,100.0,58.333333333333336,7,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,16,16,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_118,100.0,10,10,100.0,82.14285714285714,75.0,9,12,100.0,64.28571428571429,100.0,10,10,100.0,82.14285714285714,100.0,20,20,100.0,85.71428571428571,3.5714285714285694,-17.857142857142847,0.0,-17.857142857142847,3.5714285714285694,131.80272108843522
HumanEval_119,80.0,8,10,100.0,100.0,75.0,9,12,100.0,96.42857142857144,10.0,1,10,100.0,46.42857142857143,100.0,19,19,100.0,100.0,0.0,-3.571428571428555,-53.57142857142857,50.000000000000014,53.57142857142857,897.1088435374153
HumanEval_12,80.0,8,10,100.0,100.0,78.57142857142857,11,14,100.0,100.0,100.0,10,10,100.0,100.0,100.0,19,19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_120,80.0,8,10,100.0,100.0,66.66666666666667,8,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,18,18,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_121,100.0,10,10,100.0,100.0,76.92307692307692,10,13,100.0,100.0,100.0,8,8,100.0,0.0,100.0,21,21,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_122,70.0,7,10,100.0,100.0,41.666666666666664,5,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,14,14,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_123,80.0,8,10,100.0,62.5,55.55555555555556,5,9,100.0,62.5,100.0,10,10,18.0,4.166666666666667,100.0,15,15,100.0,62.5,0.0,0.0,-58.333333333333336,58.333333333333336,58.333333333333336,1134.2592592592591
HumanEval_124,80.0,8,10,100.0,45.833333333333336,76.92307692307692,10,13,94.0,39.583333333333336,44.44444444444444,4,9,100.0,31.25,100.0,20,20,100.0,50.0,4.166666666666664,-6.25,-14.583333333333336,8.333333333333336,18.75,88.25231481481481
HumanEval_125,80.0,8,10,100.0,100.0,75.0,9,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,19,19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_126,100.0,10,10,100.0,92.85714285714286,66.66666666666667,8,12,100.0,92.85714285714286,40.0,4,10,100.0,71.42857142857143,100.0,19,19,100.0,92.85714285714286,0.0,0.0,-21.42857142857143,21.42857142857143,21.42857142857143,153.06122448979596
HumanEval_127,60.0,6,10,100.0,60.714285714285715,36.36363636363637,4,11,100.0,53.57142857142857,100.0,10,10,100.0,85.71428571428571,100.0,12,12,75.0,60.714285714285715,0.0,-7.142857142857146,24.999999999999993,-32.14285714285714,-24.999999999999993,284.8639455782312
HumanEval_128,100.0,10,10,100.0,83.33333333333333,78.57142857142857,11,14,100.0,83.33333333333333,100.0,10,10,75.0,8.333333333333334,100.0,22,22,100.0,83.33333333333333,0.0,0.0,-75.0,75.0,75.0,1875.0
HumanEval_129,100.0,10,10,100.0,66.66666666666667,33.333333333333336,4,12,100.0,84.84848484848484,100.0,10,10,100.0,87.87878787878788,100.0,15,15,100.0,84.84848484848484,18.181818181818173,18.181818181818173,21.212121212121204,-3.030303030303031,-3.030303030303031,3.0609121518212445
HumanEval_13,60.0,6,10,100.0,100.0,72.72727272727273,8,11,100.0,50.0,100.0,10,10,25.0,0.0,100.0,16,16,100.0,50.0,-50.0,-50.0,-100.0,50.0,50.0,833.3333333333334
HumanEval_130,100.0,10,10,100.0,100.0,77.77777777777777,7,9,100.0,100.0,-10.0,-1,10,100.0,0.0,100.0,18,18,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_131,100.0,10,10,100.0,82.3529411764706,69.23076923076923,9,13,100.0,82.3529411764706,-10.0,-1,10,100.0,0.0,100.0,16,16,100.0,82.3529411764706,0.0,0.0,-82.3529411764706,82.3529411764706,82.3529411764706,2260.668973471742
HumanEval_132,100.0,10,10,100.0,90.0,71.42857142857143,10,14,100.0,85.0,70.0,7,10,100.0,75.0,100.0,21,21,100.0,90.0,0.0,-5.0,-15.0,10.0,15.0,58.33333333333333
HumanEval_133,100.0,10,10,100.0,100.0,100.0,11,11,100.0,100.0,100.0,10,10,100.0,100.0,100.0,21,21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_134,100.0,10,10,100.0,84.61538461538461,66.66666666666667,8,12,100.0,84.61538461538461,100.0,10,10,100.0,84.61538461538461,100.0,19,19,100.0,84.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_135,100.0,10,10,100.0,84.61538461538461,83.33333333333333,10,12,100.0,84.61538461538461,0.0,0,10,100.0,30.76923076923077,100.0,20,20,100.0,84.61538461538461,0.0,0.0,-53.84615384615384,53.84615384615384,53.84615384615384,966.4694280078895
HumanEval_136,100.0,10,10,100.0,100.0,85.71428571428571,12,14,100.0,100.0,-10.0,-1,10,100.0,0.0,100.0,23,23,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_137,100.0,10,10,100.0,88.88888888888889,100.0,12,12,100.0,66.66666666666667,100.0,10,10,17.0,0.0,100.0,22,22,100.0,88.88888888888889,0.0,-22.222222222222214,-88.88888888888889,66.66666666666667,88.88888888888889,2139.917695473251
HumanEval_138,100.0,10,10,100.0,100.0,83.33333333333333,10,12,100.0,100.0,-10.0,-1,10,100.0,0.0,100.0,21,21,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_139,100.0,10,10,100.0,90.9090909090909,50.0,4,8,100.0,90.9090909090909,-10.0,-1,10,100.0,0.0,100.0,15,15,100.0,90.9090909090909,0.0,0.0,-90.9090909090909,90.9090909090909,90.9090909090909,2754.8209366391184
HumanEval_14,100.0,10,10,100.0,100.0,77.77777777777777,7,9,100.0,100.0,100.0,10,10,100.0,100.0,100.0,18,18,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_140,80.0,8,10,100.0,88.23529411764706,83.33333333333333,10,12,100.0,90.19607843137256,100.0,10,10,100.0,92.15686274509804,100.0,15,15,100.0,90.19607843137256,1.9607843137254974,1.9607843137254974,3.9215686274509807,-1.9607843137254832,-1.9607843137254832,1.2815583749839714
HumanEval_141,100.0,10,10,100.0,96.29629629629628,58.333333333333336,7,12,100.0,88.88888888888889,100.0,10,10,100.0,92.5925925925926,100.0,18,18,100.0,100.0,3.7037037037037237,-7.407407407407391,-3.703703703703681,-3.7037037037037095,7.407407407407405,32.00731595793325
HumanEval_142,100.0,10,10,100.0,94.44444444444444,81.81818181818181,9,11,100.0,94.44444444444444,100.0,10,10,100.0,94.44444444444444,100.0,20,20,100.0,94.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_143,80.0,8,10,100.0,73.6842105263158,41.666666666666664,5,12,100.0,73.6842105263158,100.0,10,10,100.0,73.6842105263158,100.0,15,15,100.0,73.6842105263158,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_144,100.0,10,10,100.0,100.0,81.81818181818181,9,11,100.0,92.3076923076923,100.0,10,10,100.0,100.0,100.0,20,20,100.0,100.0,0.0,-7.692307692307693,0.0,-7.692307692307693,0.0,19.72386587771204
HumanEval_145,,0,0,0.0,0.0,61.53846153846154,8,13,100.0,33.333333333333336,-10.0,-1,10,100.0,0.0,100.0,14,14,100.0,60.0,60.0,33.333333333333336,0.0,33.333333333333336,60.0,903.7037037037037
HumanEval_146,100.0,10,10,100.0,95.0,100.0,11,11,100.0,95.0,100.0,10,10,11.0,0.0,100.0,21,21,100.0,95.0,0.0,0.0,-95.0,95.0,95.0,3008.333333333333
HumanEval_147,100.0,10,10,100.0,85.71428571428571,66.66666666666667,8,12,100.0,85.71428571428571,100.0,10,10,100.0,85.71428571428571,100.0,19,19,100.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_148,100.0,10,10,100.0,95.0,100.0,13,13,100.0,95.0,100.0,10,10,100.0,95.0,100.0,23,23,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_149,100.0,10,10,100.0,100.0,77.77777777777777,7,9,100.0,100.0,100.0,10,10,29.0,0.0,100.0,18,18,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_15,100.0,10,10,100.0,100.0,71.42857142857143,5,7,100.0,100.0,-10.0,-1,10,100.0,0.0,100.0,16,16,100.0,100.0,0.0,0.0,-100.0,100.0,100.0,3333.333333333333
HumanEval_150,70.0,7,10,100.0,85.71428571428571,72.72727272727273,8,11,100.0,85.71428571428571,100.0,10,10,100.0,85.71428571428571,100.0,16,16,100.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_151,100.0,10,10,100.0,90.9090909090909,83.33333333333333,10,12,100.0,81.81818181818181,0.0,0,10,100.0,9.090909090909092,100.0,21,21,100.0,90.9090909090909,0.0,-9.090909090909093,-81.81818181818181,72.72727272727272,81.81818181818181,2011.0192837465565
HumanEval_152,100.0,10,10,100.0,100.0,83.33333333333333,10,12,100.0,100.0,100.0,10,10,100.0,100.0,100.0,21,21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
