problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,80.0,8,10,100.0,83.33333333333333
HumanEval_1,58.333333333333336,7,12,100.0,100.0
HumanEval_2,72.72727272727273,8,11,100.0,100.0
HumanEval_3,80.0,8,10,100.0,100.0
HumanEval_4,80.0,8,10,100.0,100.0
HumanEval_5,45.45454545454545,5,11,100.0,100.0
HumanEval_6,58.333333333333336,7,12,100.0,78.57142857142857
HumanEval_7,72.72727272727273,8,11,100.0,100.0
HumanEval_8,80.0,8,10,100.0,100.0
HumanEval_9,75.0,9,12,100.0,100.0
HumanEval_10,54.54545454545455,6,11,100.0,71.42857142857143
HumanEval_11,66.66666666666667,8,12,100.0,100.0
HumanEval_12,78.57142857142857,11,14,100.0,100.0
HumanEval_13,72.72727272727273,8,11,100.0,50.0
HumanEval_14,77.77777777777777,7,9,100.0,100.0
HumanEval_15,71.42857142857143,5,7,100.0,100.0
HumanEval_16,63.63636363636363,7,11,100.0,0.0
HumanEval_17,50.0,6,12,100.0,100.0
HumanEval_18,100.0,11,11,100.0,90.0
HumanEval_19,58.333333333333336,7,12,100.0,95.83333333333333
HumanEval_20,58.333333333333336,7,12,100.0,83.33333333333333
HumanEval_21,54.54545454545455,6,11,100.0,100.0
HumanEval_22,81.81818181818181,9,11,100.0,0.0
HumanEval_23,77.77777777777777,7,9,100.0,0.0
HumanEval_24,66.66666666666667,8,12,100.0,100.0
HumanEval_25,75.0,9,12,100.0,56.25
HumanEval_26,66.66666666666667,6,9,100.0,100.0
HumanEval_27,66.66666666666667,8,12,100.0,0.0
HumanEval_28,77.77777777777777,7,9,100.0,100.0
HumanEval_29,83.33333333333333,10,12,100.0,0.0
HumanEval_30,100.0,12,12,100.0,100.0
HumanEval_31,100.0,11,11,100.0,100.0
HumanEval_32,,0,0,,0.0
HumanEval_33,83.33333333333333,10,12,100.0,100.0
HumanEval_34,81.81818181818181,9,11,100.0,0.0
HumanEval_35,72.72727272727273,8,11,100.0,75.0
HumanEval_36,100.0,10,10,100.0,94.44444444444444
HumanEval_37,81.81818181818181,9,11,100.0,100.0
HumanEval_38,100.0,12,12,100.0,94.44444444444444
HumanEval_39,,0,0,,0.0
HumanEval_40,83.33333333333333,10,12,100.0,80.0
HumanEval_41,62.5,5,8,100.0,100.0
HumanEval_42,100.0,11,11,100.0,100.0
HumanEval_43,72.72727272727273,8,11,100.0,100.0
HumanEval_44,,0,0,,0.0
HumanEval_45,58.333333333333336,7,12,100.0,100.0
HumanEval_46,80.0,8,10,100.0,95.83333333333333
HumanEval_47,83.33333333333333,10,12,100.0,100.0
HumanEval_48,84.61538461538461,11,13,100.0,100.0
HumanEval_49,75.0,9,12,100.0,100.0
HumanEval_50,72.72727272727273,8,11,75.0,50.0
HumanEval_51,81.81818181818181,9,11,100.0,100.0
HumanEval_52,100.0,12,12,100.0,100.0
HumanEval_53,75.0,9,12,100.0,100.0
HumanEval_54,81.81818181818181,9,11,100.0,100.0
HumanEval_55,60.0,6,10,100.0,100.0
HumanEval_56,75.0,9,12,100.0,100.0
HumanEval_57,84.61538461538461,11,13,100.0,100.0
HumanEval_58,84.61538461538461,11,13,100.0,100.0
HumanEval_59,72.72727272727273,8,11,92.0,71.42857142857143
HumanEval_60,75.0,6,8,100.0,100.0
HumanEval_61,84.61538461538461,11,13,100.0,100.0
HumanEval_62,83.33333333333333,10,12,100.0,100.0
HumanEval_63,70.0,7,10,100.0,100.0
HumanEval_64,66.66666666666667,8,12,100.0,88.23529411764706
HumanEval_65,66.66666666666667,8,12,100.0,100.0
HumanEval_66,54.54545454545455,6,11,100.0,75.0
HumanEval_67,50.0,6,12,100.0,100.0
HumanEval_68,72.72727272727273,8,11,100.0,100.0
HumanEval_69,85.71428571428571,12,14,100.0,92.85714285714286
HumanEval_70,66.66666666666667,8,12,100.0,100.0
HumanEval_71,100.0,11,11,100.0,92.0
HumanEval_72,100.0,10,10,100.0,68.75
HumanEval_73,63.63636363636363,7,11,100.0,100.0
HumanEval_74,100.0,11,11,100.0,88.88888888888889
HumanEval_75,69.23076923076923,9,13,100.0,43.47826086956522
HumanEval_76,,0,0,,0.0
HumanEval_77,100.0,11,11,100.0,100.0
HumanEval_78,100.0,12,12,100.0,100.0
HumanEval_79,80.0,8,10,100.0,100.0
HumanEval_80,81.81818181818181,9,11,100.0,63.1578947368421
HumanEval_81,75.0,9,12,100.0,89.47368421052632
HumanEval_82,83.33333333333333,10,12,100.0,100.0
HumanEval_83,60.0,6,10,100.0,100.0
HumanEval_84,69.23076923076923,9,13,100.0,100.0
HumanEval_85,72.72727272727273,8,11,100.0,100.0
HumanEval_86,61.53846153846154,8,13,100.0,100.0
HumanEval_87,50.0,5,10,100.0,100.0
HumanEval_88,76.92307692307692,10,13,100.0,90.0
HumanEval_89,81.81818181818181,9,11,100.0,93.33333333333333
HumanEval_90,76.92307692307692,10,13,100.0,100.0
HumanEval_91,66.66666666666667,8,12,100.0,100.0
HumanEval_92,75.0,9,12,100.0,81.81818181818181
HumanEval_93,40.0,4,10,100.0,100.0
HumanEval_94,72.72727272727273,8,11,100.0,77.27272727272727
HumanEval_95,50.0,6,12,95.0,74.28571428571429
HumanEval_96,63.63636363636363,7,11,100.0,81.81818181818181
HumanEval_97,100.0,7,7,100.0,100.0
HumanEval_98,81.81818181818181,9,11,100.0,88.88888888888889
HumanEval_99,70.0,7,10,93.0,54.166666666666664
HumanEval_100,66.66666666666667,6,9,100.0,100.0
HumanEval_101,72.72727272727273,8,11,100.0,100.0
HumanEval_102,66.66666666666667,8,12,100.0,100.0
HumanEval_103,72.72727272727273,8,11,100.0,100.0
HumanEval_104,66.66666666666667,6,9,100.0,100.0
HumanEval_105,80.0,8,10,100.0,100.0
HumanEval_106,75.0,6,8,100.0,96.15384615384616
HumanEval_107,45.45454545454545,5,11,100.0,100.0
HumanEval_108,100.0,13,13,100.0,77.77777777777777
HumanEval_109,100.0,11,11,100.0,92.3076923076923
HumanEval_110,83.33333333333333,10,12,100.0,100.0
HumanEval_111,70.0,7,10,100.0,85.71428571428571
HumanEval_112,83.33333333333333,10,12,100.0,100.0
HumanEval_113,100.0,12,12,100.0,100.0
HumanEval_114,100.0,10,10,100.0,88.88888888888889
HumanEval_115,60.0,6,10,100.0,100.0
HumanEval_116,60.0,6,10,100.0,33.333333333333336
HumanEval_117,58.333333333333336,7,12,100.0,100.0
HumanEval_118,75.0,9,12,100.0,64.28571428571429
HumanEval_119,75.0,9,12,100.0,96.42857142857143
HumanEval_120,66.66666666666667,8,12,100.0,100.0
HumanEval_121,76.92307692307692,10,13,100.0,100.0
HumanEval_122,41.666666666666664,5,12,100.0,100.0
HumanEval_123,55.55555555555556,5,9,100.0,62.5
HumanEval_124,76.92307692307692,10,13,94.0,39.583333333333336
HumanEval_125,75.0,9,12,100.0,100.0
HumanEval_126,66.66666666666667,8,12,100.0,92.85714285714286
HumanEval_127,36.36363636363637,4,11,100.0,53.57142857142857
HumanEval_128,78.57142857142857,11,14,100.0,83.33333333333333
HumanEval_129,33.333333333333336,4,12,100.0,84.84848484848484
HumanEval_130,77.77777777777777,7,9,100.0,100.0
HumanEval_131,69.23076923076923,9,13,100.0,82.3529411764706
HumanEval_132,71.42857142857143,10,14,100.0,85.0
HumanEval_133,100.0,11,11,100.0,100.0
HumanEval_134,66.66666666666667,8,12,100.0,84.61538461538461
HumanEval_135,83.33333333333333,10,12,100.0,84.61538461538461
HumanEval_136,85.71428571428571,12,14,100.0,100.0
HumanEval_137,100.0,12,12,100.0,66.66666666666667
HumanEval_138,83.33333333333333,10,12,100.0,100.0
HumanEval_139,50.0,4,8,100.0,90.9090909090909
HumanEval_140,83.33333333333333,10,12,100.0,90.19607843137256
HumanEval_141,58.333333333333336,7,12,100.0,88.88888888888889
HumanEval_142,81.81818181818181,9,11,100.0,94.44444444444444
HumanEval_143,41.666666666666664,5,12,100.0,73.6842105263158
HumanEval_144,81.81818181818181,9,11,100.0,92.3076923076923
HumanEval_145,61.53846153846154,8,13,100.0,33.333333333333336
HumanEval_146,100.0,11,11,100.0,95.0
HumanEval_147,66.66666666666667,8,12,100.0,85.71428571428571
HumanEval_148,100.0,13,13,100.0,95.0
HumanEval_149,77.77777777777777,7,9,100.0,100.0
HumanEval_150,72.72727272727273,8,11,100.0,85.71428571428571
HumanEval_151,83.33333333333333,10,12,100.0,81.81818181818181
HumanEval_152,83.33333333333333,10,12,100.0,100.0
HumanEval_153,63.63636363636363,7,11,100.0,73.6842105263158
HumanEval_154,100.0,12,12,100.0,69.23076923076923
HumanEval_155,83.33333333333333,10,12,100.0,100.0
HumanEval_156,,0,0,,0.0
HumanEval_157,66.66666666666667,8,12,100.0,43.75
HumanEval_158,70.0,7,10,100.0,100.0
HumanEval_159,75.0,9,12,100.0,80.0
HumanEval_160,50.0,6,12,100.0,100.0
HumanEval_161,83.33333333333333,10,12,100.0,89.47368421052632
HumanEval_162,41.666666666666664,5,12,100.0,100.0
HumanEval_163,66.66666666666667,8,12,100.0,90.0
