problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,100.0,10,10,100.0,83.33333333333333
HumanEval_1,100.0,10,10,100.0,100.0
HumanEval_2,80.0,8,10,100.0,100.0
HumanEval_3,100.0,10,10,100.0,100.0
HumanEval_4,100.0,7,7,75.0,25.0
HumanEval_5,100.0,10,10,0.0,0.0
HumanEval_6,100.0,10,10,100.0,78.57142857142857
HumanEval_7,100.0,10,10,100.0,100.0
HumanEval_8,80.0,8,10,100.0,12.5
HumanEval_9,100.0,10,10,100.0,100.0
HumanEval_10,100.0,10,10,100.0,78.57142857142857
HumanEval_11,100.0,10,10,100.0,100.0
HumanEval_12,100.0,10,10,100.0,100.0
HumanEval_13,100.0,10,10,25.0,0.0
HumanEval_14,100.0,10,10,100.0,100.0
HumanEval_15,-10.0,-1,10,100.0,0.0
HumanEval_16,100.0,10,10,100.0,0.0
HumanEval_17,100.0,10,10,100.0,100.0
HumanEval_18,100.0,10,10,100.0,90.0
HumanEval_19,100.0,10,10,100.0,95.83333333333333
HumanEval_20,100.0,10,10,60.0,8.333333333333334
HumanEval_21,100.0,10,10,100.0,100.0
HumanEval_22,10.0,1,10,0.0,0.0
HumanEval_23,100.0,10,10,100.0,0.0
HumanEval_24,100.0,10,10,50.0,0.0
HumanEval_25,100.0,10,10,46.0,0.0
HumanEval_26,100.0,10,10,100.0,100.0
HumanEval_27,100.0,10,10,100.0,0.0
HumanEval_28,100.0,10,10,100.0,100.0
HumanEval_29,100.0,10,10,100.0,0.0
HumanEval_30,10.0,1,10,100.0,0.0
HumanEval_31,100.0,10,10,29.0,9.090909090909092
HumanEval_32,100.0,7,7,100.0,34.61538461538461
HumanEval_33,-10.0,-1,10,100.0,0.0
HumanEval_34,100.0,10,10,100.0,0.0
HumanEval_35,100.0,10,10,100.0,75.0
HumanEval_36,100.0,10,10,100.0,94.44444444444444
HumanEval_37,100.0,10,10,40.0,0.0
HumanEval_38,100.0,10,10,100.0,94.44444444444444
HumanEval_39,100.0,10,10,100.0,64.51612903225806
HumanEval_40,30.0,3,10,100.0,30.0
HumanEval_41,100.0,10,10,100.0,100.0
HumanEval_42,100.0,10,10,100.0,100.0
HumanEval_43,100.0,10,10,100.0,100.0
HumanEval_44,100.0,10,10,100.0,77.77777777777777
HumanEval_45,100.0,10,10,50.0,0.0
HumanEval_46,100.0,10,10,38.0,4.166666666666667
HumanEval_47,-10.0,-1,10,100.0,0.0
HumanEval_48,100.0,10,10,100.0,100.0
HumanEval_49,100.0,10,10,100.0,100.0
HumanEval_50,100.0,10,10,75.0,50.0
HumanEval_51,100.0,10,10,100.0,100.0
HumanEval_52,100.0,10,10,100.0,100.0
HumanEval_53,100.0,10,10,50.0,0.0
HumanEval_54,100.0,10,10,100.0,100.0
HumanEval_55,100.0,10,10,100.0,63.63636363636363
HumanEval_56,100.0,9,9,100.0,100.0
HumanEval_57,0.0,0,10,100.0,50.0
HumanEval_58,100.0,10,10,100.0,100.0
HumanEval_59,-10.0,-1,10,92.0,0.0
HumanEval_60,-10.0,-1,10,100.0,0.0
HumanEval_61,100.0,10,10,100.0,100.0
HumanEval_62,-10.0,-1,10,100.0,0.0
HumanEval_63,100.0,10,10,100.0,94.11764705882354
HumanEval_64,100.0,10,10,100.0,88.23529411764706
HumanEval_65,100.0,10,10,100.0,100.0
HumanEval_66,100.0,10,10,100.0,75.0
HumanEval_67,100.0,10,10,100.0,100.0
HumanEval_68,100.0,10,10,60.0,22.22222222222222
