problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,100.0,10,10,100.0,100.0
HumanEval_1,100.0,10,10,100.0,100.0
HumanEval_2,40.0,4,10,100.0,100.0
HumanEval_3,100.0,10,10,100.0,100.0
HumanEval_4,100.0,10,10,100.0,100.0
HumanEval_5,100.0,10,10,100.0,100.0
HumanEval_6,100.0,10,10,100.0,78.57142857142857
HumanEval_7,100.0,10,10,100.0,100.0
HumanEval_8,100.0,10,10,100.0,100.0
HumanEval_9,100.0,10,10,100.0,100.0
HumanEval_10,100.0,10,10,100.0,78.57142857142857
HumanEval_11,100.0,10,10,100.0,100.0
HumanEval_12,80.0,8,10,100.0,100.0
HumanEval_13,60.0,6,10,100.0,100.0
HumanEval_14,100.0,10,10,100.0,100.0
HumanEval_15,100.0,10,10,100.0,100.0
HumanEval_16,100.0,10,10,100.0,0.0
HumanEval_17,100.0,10,10,100.0,100.0
HumanEval_18,100.0,10,10,100.0,80.0
HumanEval_19,100.0,10,10,100.0,83.33333333333334
HumanEval_20,100.0,10,10,100.0,83.33333333333334
HumanEval_21,60.0,6,10,100.0,100.0
HumanEval_22,100.0,10,10,100.0,0.0
HumanEval_23,100.0,10,10,100.0,0.0
HumanEval_24,100.0,10,10,100.0,100.0
HumanEval_25,100.0,10,10,100.0,56.25
HumanEval_26,100.0,10,10,100.0,100.0
HumanEval_27,100.0,10,10,100.0,0.0
HumanEval_28,100.0,10,10,100.0,100.0
HumanEval_29,100.0,10,10,100.0,0.0
HumanEval_30,100.0,10,10,100.0,100.0
HumanEval_31,100.0,10,10,100.0,100.0
HumanEval_32,70.0,7,10,100.0,38.46153846153847
HumanEval_33,100.0,10,10,100.0,100.0
HumanEval_34,100.0,10,10,100.0,0.0
HumanEval_35,80.0,8,10,100.0,75.0
HumanEval_36,80.0,8,10,100.0,94.44444444444444
HumanEval_37,100.0,10,10,100.0,100.0
HumanEval_38,80.0,8,10,100.0,88.88888888888889
HumanEval_39,60.0,6,10,100.0,0.0
HumanEval_40,80.0,8,10,100.0,80.0
HumanEval_41,100.0,10,10,100.0,100.0
