problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,N/A,0,0,N/A,N/A
HumanEval_1,N/A,0,0,N/A,N/A
HumanEval_2,N/A,0,0,N/A,N/A
HumanEval_3,N/A,0,0,N/A,N/A
HumanEval_4,N/A,0,0,N/A,N/A
HumanEval_5,N/A,0,0,N/A,N/A
HumanEval_6,N/A,0,0,N/A,N/A
HumanEval_7,N/A,0,0,N/A,N/A
HumanEval_8,N/A,0,0,N/A,N/A
HumanEval_9,N/A,0,0,N/A,N/A
HumanEval_10,N/A,0,0,N/A,N/A
HumanEval_11,N/A,0,0,N/A,N/A
HumanEval_12,N/A,0,0,N/A,N/A
HumanEval_13,N/A,0,0,N/A,N/A
HumanEval_14,N/A,0,0,N/A,N/A
HumanEval_15,N/A,0,0,N/A,N/A
HumanEval_16,N/A,0,0,N/A,N/A
HumanEval_17,N/A,0,0,N/A,N/A
HumanEval_18,N/A,0,0,N/A,N/A
HumanEval_19,N/A,0,0,N/A,N/A
HumanEval_20,N/A,0,0,N/A,N/A
HumanEval_21,N/A,0,0,N/A,N/A
HumanEval_22,N/A,0,0,N/A,N/A
HumanEval_23,N/A,0,0,N/A,N/A
HumanEval_24,N/A,0,0,N/A,N/A
HumanEval_25,N/A,0,0,N/A,N/A
HumanEval_26,N/A,0,0,N/A,N/A
HumanEval_27,N/A,0,0,N/A,N/A
HumanEval_28,N/A,0,0,N/A,N/A
HumanEval_29,N/A,0,0,N/A,N/A
HumanEval_30,N/A,0,0,N/A,N/A
HumanEval_31,N/A,0,0,N/A,N/A
HumanEval_32,N/A,0,0,N/A,N/A
HumanEval_33,N/A,0,0,N/A,N/A
HumanEval_34,N/A,0,0,N/A,N/A
HumanEval_35,N/A,0,0,N/A,N/A
HumanEval_36,N/A,0,0,N/A,N/A
HumanEval_37,N/A,0,0,N/A,N/A
HumanEval_38,N/A,0,0,N/A,N/A
HumanEval_39,N/A,0,0,N/A,N/A
HumanEval_40,N/A,0,0,N/A,N/A
HumanEval_41,N/A,0,0,N/A,N/A
HumanEval_42,N/A,0,0,N/A,N/A
HumanEval_43,N/A,0,0,N/A,N/A
HumanEval_44,N/A,0,0,N/A,N/A
HumanEval_45,N/A,0,0,N/A,N/A
HumanEval_46,N/A,0,0,N/A,N/A
HumanEval_47,N/A,0,0,N/A,N/A
HumanEval_48,N/A,0,0,N/A,N/A
HumanEval_49,N/A,0,0,N/A,N/A
HumanEval_50,N/A,0,0,N/A,N/A
HumanEval_51,N/A,0,0,N/A,N/A
HumanEval_52,N/A,0,0,N/A,N/A
HumanEval_53,N/A,0,0,N/A,N/A
HumanEval_54,N/A,0,0,N/A,N/A
HumanEval_55,N/A,0,0,N/A,N/A
HumanEval_56,N/A,0,0,N/A,N/A
HumanEval_57,N/A,0,0,N/A,N/A
HumanEval_58,N/A,0,0,N/A,N/A
HumanEval_59,N/A,0,0,N/A,N/A
HumanEval_60,N/A,0,0,N/A,N/A
HumanEval_61,N/A,0,0,N/A,N/A
HumanEval_62,N/A,0,0,N/A,N/A
HumanEval_63,N/A,0,0,N/A,N/A
HumanEval_64,N/A,0,0,N/A,N/A
HumanEval_65,N/A,0,0,N/A,N/A
HumanEval_66,N/A,0,0,N/A,N/A
HumanEval_67,N/A,0,0,N/A,N/A
HumanEval_68,N/A,0,0,N/A,N/A
HumanEval_69,N/A,0,0,N/A,N/A
HumanEval_70,N/A,0,0,N/A,N/A
HumanEval_71,N/A,0,0,N/A,N/A
HumanEval_72,N/A,0,0,N/A,N/A
HumanEval_73,N/A,0,0,N/A,N/A
HumanEval_74,N/A,0,0,N/A,N/A
HumanEval_75,N/A,0,0,N/A,N/A
HumanEval_76,N/A,0,0,N/A,N/A
HumanEval_77,N/A,0,0,N/A,N/A
HumanEval_78,N/A,0,0,N/A,N/A
HumanEval_79,N/A,0,0,N/A,N/A
HumanEval_80,N/A,0,0,N/A,N/A
HumanEval_81,N/A,0,0,N/A,N/A
HumanEval_82,N/A,0,0,N/A,N/A
HumanEval_83,N/A,0,0,N/A,N/A
HumanEval_84,N/A,0,0,N/A,N/A
HumanEval_85,N/A,0,0,N/A,N/A
HumanEval_86,N/A,0,0,N/A,N/A
HumanEval_87,N/A,0,0,N/A,N/A
HumanEval_88,N/A,0,0,N/A,N/A
HumanEval_89,N/A,0,0,N/A,N/A
HumanEval_90,N/A,0,0,N/A,N/A
HumanEval_91,N/A,0,0,N/A,N/A
HumanEval_92,N/A,0,0,N/A,N/A
HumanEval_93,N/A,0,0,N/A,N/A
HumanEval_94,N/A,0,0,N/A,N/A
HumanEval_95,N/A,0,0,N/A,N/A
HumanEval_96,N/A,0,0,N/A,N/A
HumanEval_97,N/A,0,0,N/A,N/A
HumanEval_98,N/A,0,0,N/A,N/A
HumanEval_99,N/A,0,0,N/A,N/A
HumanEval_100,N/A,0,0,N/A,N/A
HumanEval_101,N/A,0,0,N/A,N/A
HumanEval_102,N/A,0,0,N/A,N/A
HumanEval_103,N/A,0,0,N/A,N/A
HumanEval_104,N/A,0,0,N/A,N/A
HumanEval_105,N/A,0,0,N/A,N/A
HumanEval_106,N/A,0,0,N/A,N/A
HumanEval_107,N/A,0,0,N/A,N/A
