problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,,0,0,,
HumanEval_1,,0,0,,
HumanEval_2,,0,0,,
HumanEval_3,,0,0,,
HumanEval_4,,0,0,,
HumanEval_5,,0,0,,
HumanEval_6,,0,0,,
HumanEval_7,,0,0,,
HumanEval_8,,0,0,,
HumanEval_9,,0,0,,
HumanEval_10,,0,0,,
HumanEval_11,,0,0,,
HumanEval_12,,0,0,,
HumanEval_13,,0,0,,
HumanEval_14,,0,0,,
HumanEval_15,,0,0,,
HumanEval_16,,0,0,,
HumanEval_17,,0,0,,
HumanEval_18,,0,0,,
HumanEval_19,,0,0,,
HumanEval_20,,0,0,,
HumanEval_21,,0,0,,
HumanEval_22,,0,0,,
HumanEval_23,,0,0,,
HumanEval_24,,0,0,,
HumanEval_25,,0,0,,
HumanEval_26,,0,0,,
HumanEval_27,,0,0,,
HumanEval_28,,0,0,,
HumanEval_29,,0,0,,
HumanEval_30,,0,0,,
HumanEval_31,,0,0,,
HumanEval_32,,0,0,,
HumanEval_33,,0,0,,
HumanEval_34,,0,0,,
HumanEval_35,,0,0,,
HumanEval_36,,0,0,,
HumanEval_37,,0,0,,
HumanEval_38,,0,0,,
HumanEval_39,,0,0,,
HumanEval_40,,0,0,,
HumanEval_41,,0,0,,
HumanEval_42,,0,0,,
HumanEval_43,,0,0,,
HumanEval_44,,0,0,,
HumanEval_45,,0,0,,
HumanEval_46,,0,0,,
HumanEval_47,,0,0,,
HumanEval_48,,0,0,,
HumanEval_49,,0,0,,
HumanEval_50,,0,0,,
HumanEval_51,,0,0,,
HumanEval_52,,0,0,,
HumanEval_53,,0,0,,
HumanEval_54,,0,0,,
HumanEval_55,,0,0,,
HumanEval_56,,0,0,,
HumanEval_57,,0,0,,
HumanEval_58,,0,0,,
HumanEval_59,,0,0,,
HumanEval_60,,0,0,,
HumanEval_61,,0,0,,
HumanEval_62,,0,0,,
HumanEval_63,,0,0,,
HumanEval_64,,0,0,,
HumanEval_65,,0,0,,
HumanEval_66,,0,0,,
HumanEval_67,,0,0,,
HumanEval_68,,0,0,,
HumanEval_69,,0,0,,
HumanEval_70,,0,0,,
HumanEval_71,,0,0,,
HumanEval_72,,0,0,,
HumanEval_73,,0,0,,
HumanEval_74,,0,0,,
HumanEval_75,,0,0,,
HumanEval_76,,0,0,,
HumanEval_77,,0,0,,
HumanEval_78,,0,0,,
HumanEval_79,,0,0,,
HumanEval_80,,0,0,,
HumanEval_81,,0,0,,
HumanEval_82,,0,0,,
HumanEval_83,,0,0,,
HumanEval_84,,0,0,,
HumanEval_85,,0,0,,
HumanEval_86,,0,0,,
HumanEval_87,,0,0,,
HumanEval_88,,0,0,,
HumanEval_89,,0,0,,
HumanEval_90,,0,0,,
HumanEval_91,,0,0,,
HumanEval_92,,0,0,,
HumanEval_93,,0,0,,
HumanEval_94,,0,0,,
HumanEval_95,,0,0,,
HumanEval_96,,0,0,,
HumanEval_97,,0,0,,
HumanEval_98,,0,0,,
HumanEval_99,,0,0,,
HumanEval_100,,0,0,,
HumanEval_101,,0,0,,
HumanEval_102,,0,0,,
HumanEval_103,,0,0,,
HumanEval_104,,0,0,,
HumanEval_105,,0,0,,
HumanEval_106,,0,0,,
HumanEval_107,,0,0,,
HumanEval_108,,0,0,,
HumanEval_109,,0,0,,
HumanEval_110,,0,0,,
HumanEval_111,,0,0,,
HumanEval_112,,0,0,,
HumanEval_113,,0,0,,
HumanEval_114,,0,0,,
HumanEval_115,,0,0,,
HumanEval_116,,0,0,,
HumanEval_117,,0,0,,
HumanEval_118,,0,0,,
HumanEval_119,,0,0,,
HumanEval_120,,0,0,,
HumanEval_121,,0,0,,
HumanEval_122,,0,0,,
HumanEval_123,,0,0,,
HumanEval_124,,0,0,,
HumanEval_125,,0,0,,
HumanEval_126,,0,0,,
HumanEval_127,,0,0,,
HumanEval_128,,0,0,,
HumanEval_129,,0,0,,
HumanEval_130,,0,0,,
HumanEval_131,,0,0,,
HumanEval_132,,0,0,,
HumanEval_133,,0,0,,
HumanEval_134,,0,0,,
HumanEval_135,,0,0,,
HumanEval_136,,0,0,,
HumanEval_137,,0,0,,
HumanEval_138,,0,0,,
HumanEval_139,,0,0,,
HumanEval_140,,0,0,,
HumanEval_141,,0,0,,
HumanEval_142,,0,0,,
HumanEval_143,,0,0,,
HumanEval_144,,0,0,,
HumanEval_145,,0,0,,
HumanEval_146,,0,0,,
HumanEval_147,,0,0,,
HumanEval_148,,0,0,,
HumanEval_149,,0,0,,
HumanEval_150,,0,0,,
HumanEval_151,,0,0,,
HumanEval_152,,0,0,,
HumanEval_153,,0,0,,
HumanEval_154,,0,0,,
HumanEval_155,,0,0,,
HumanEval_156,,0,0,,
HumanEval_157,,0,0,,
HumanEval_158,,0,0,,
HumanEval_159,,0,0,,
HumanEval_160,,0,0,,
HumanEval_161,,0,0,,
HumanEval_162,,0,0,,
HumanEval_163,,0,0,,
