problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,100.0,18,18,100.0,100.0
HumanEval_1,100.0,18,18,100.0,94.11764705882352
HumanEval_2,100.0,14,14,100.0,100.0
HumanEval_3,100.0,13,13,100.0,100.0
HumanEval_4,100.0,19,19,100.0,100.0
HumanEval_5,100.0,16,16,100.0,100.0
HumanEval_6,100.0,16,16,100.0,78.57142857142857
HumanEval_7,100.0,19,19,100.0,100.0
HumanEval_8,100.0,19,19,100.0,100.0
HumanEval_9,100.0,20,20,100.0,100.0
HumanEval_10,,0,0,0.0,
HumanEval_11,100.0,19,19,100.0,100.0
HumanEval_12,100.0,19,19,100.0,100.0
HumanEval_13,100.0,16,16,100.0,100.0
HumanEval_14,100.0,18,18,100.0,100.0
HumanEval_15,100.0,16,16,100.0,100.0
HumanEval_16,100.0,18,18,100.0,
HumanEval_17,100.0,17,17,100.0,100.0
HumanEval_18,100.0,19,19,100.0,90.0
HumanEval_19,100.0,18,18,100.0,95.83333333333334
HumanEval_20,100.0,18,18,100.0,83.33333333333334
HumanEval_21,100.0,9,9,100.0,100.0
HumanEval_22,100.0,20,20,100.0,
HumanEval_23,100.0,18,18,100.0,
HumanEval_24,100.0,19,19,100.0,100.0
HumanEval_25,100.0,20,20,100.0,56.25
HumanEval_26,100.0,17,17,100.0,100.0
HumanEval_27,100.0,19,19,100.0,
HumanEval_28,100.0,18,18,100.0,100.0
HumanEval_29,100.0,21,21,100.0,
HumanEval_30,100.0,22,22,100.0,100.0
HumanEval_31,100.0,21,21,100.0,100.0
HumanEval_32,,0,0,0.0,
HumanEval_33,100.0,21,21,100.0,100.0
HumanEval_34,100.0,20,20,100.0,
HumanEval_35,100.0,17,17,100.0,75.0
HumanEval_36,100.0,19,19,100.0,94.44444444444444
HumanEval_37,100.0,20,20,100.0,100.0
HumanEval_38,,0,0,0.0,
HumanEval_39,100.0,9,9,100.0,67.74193548387096
HumanEval_40,100.0,12,12,100.0,80.0
HumanEval_41,100.0,16,16,100.0,100.0
HumanEval_42,100.0,21,21,100.0,100.0
HumanEval_43,100.0,18,18,100.0,100.0
HumanEval_44,100.0,15,15,100.0,77.77777777777779
HumanEval_45,100.0,17,17,100.0,100.0
HumanEval_46,100.0,19,19,100.0,95.83333333333334
HumanEval_47,100.0,20,20,100.0,100.0
HumanEval_48,100.0,22,22,100.0,100.0
HumanEval_49,100.0,20,20,100.0,100.0
HumanEval_50,,0,0,0.0,
HumanEval_51,100.0,19,19,100.0,100.0
HumanEval_52,100.0,19,19,100.0,100.0
HumanEval_53,100.0,19,19,100.0,100.0
HumanEval_54,100.0,20,20,100.0,100.0
HumanEval_55,100.0,17,17,100.0,100.0
HumanEval_56,100.0,17,17,100.0,100.0
HumanEval_57,100.0,20,20,100.0,100.0
HumanEval_58,100.0,21,21,100.0,100.0
HumanEval_59,100.0,19,19,92.0,71.42857142857143
HumanEval_60,100.0,17,17,100.0,100.0
HumanEval_61,100.0,19,19,100.0,100.0
HumanEval_62,100.0,20,20,100.0,100.0
HumanEval_63,100.0,18,18,100.0,100.0
HumanEval_64,100.0,18,18,100.0,88.23529411764706
HumanEval_65,100.0,19,19,100.0,100.0
HumanEval_66,100.0,17,17,100.0,75.0
HumanEval_67,100.0,17,17,100.0,100.0
HumanEval_68,100.0,19,19,100.0,100.0
HumanEval_69,100.0,23,23,100.0,92.85714285714286
HumanEval_70,100.0,19,19,100.0,100.0
HumanEval_71,100.0,21,21,100.0,92.0
HumanEval_72,100.0,20,20,100.0,87.5
HumanEval_73,100.0,18,18,100.0,100.0
HumanEval_74,100.0,21,21,100.0,100.0
HumanEval_75,100.0,20,20,100.0,65.21739130434783
HumanEval_76,100.0,19,19,100.0,90.0
HumanEval_77,100.0,21,21,100.0,100.0
HumanEval_78,100.0,22,22,100.0,100.0
HumanEval_79,100.0,19,19,100.0,100.0
HumanEval_80,100.0,20,20,100.0,89.47368421052632
HumanEval_81,100.0,20,20,100.0,100.0
HumanEval_82,100.0,21,21,100.0,100.0
HumanEval_83,100.0,16,16,100.0,100.0
HumanEval_84,100.0,20,20,100.0,100.0
HumanEval_85,89.47368421052632,17,19,100.0,100.0
HumanEval_86,100.0,18,18,100.0,100.0
HumanEval_87,100.0,15,15,100.0,100.0
HumanEval_88,100.0,21,21,100.0,90.0
HumanEval_89,100.0,18,18,100.0,93.33333333333333
HumanEval_90,100.0,20,20,100.0,100.0
HumanEval_91,100.0,17,17,100.0,100.0
HumanEval_92,100.0,20,20,100.0,100.0
HumanEval_93,100.0,12,12,100.0,100.0
HumanEval_94,100.0,18,18,100.0,86.36363636363636
HumanEval_95,100.0,17,17,100.0,77.14285714285715
HumanEval_96,100.0,18,18,100.0,81.81818181818183
HumanEval_97,100.0,16,16,100.0,100.0
HumanEval_98,100.0,19,19,100.0,100.0
HumanEval_99,100.0,18,18,93.0,54.166666666666664
HumanEval_100,100.0,17,17,100.0,100.0
HumanEval_101,100.0,19,19,100.0,100.0
HumanEval_102,100.0,18,18,100.0,100.0
HumanEval_103,100.0,17,17,100.0,100.0
HumanEval_104,100.0,15,15,100.0,100.0
HumanEval_105,100.0,19,19,100.0,100.0
HumanEval_106,100.0,17,17,100.0,96.15384615384616
HumanEval_107,100.0,16,16,100.0,100.0
HumanEval_108,100.0,23,23,100.0,77.77777777777779
HumanEval_109,100.0,21,21,100.0,92.3076923076923
HumanEval_110,100.0,21,21,100.0,100.0
HumanEval_111,100.0,18,18,100.0,85.71428571428571
HumanEval_112,90.9090909090909,20,22,100.0,100.0
HumanEval_113,100.0,22,22,100.0,100.0
HumanEval_114,100.0,20,20,100.0,88.88888888888889
HumanEval_115,100.0,17,17,100.0,100.0
HumanEval_116,100.0,14,14,100.0,66.66666666666666
HumanEval_117,100.0,16,16,100.0,100.0
HumanEval_118,100.0,20,20,100.0,85.71428571428571
HumanEval_119,100.0,19,19,100.0,100.0
HumanEval_120,100.0,18,18,100.0,100.0
HumanEval_121,100.0,21,21,100.0,100.0
HumanEval_122,100.0,14,14,100.0,100.0
HumanEval_123,100.0,15,15,100.0,66.66666666666666
HumanEval_124,100.0,20,20,100.0,50.0
HumanEval_125,100.0,19,19,100.0,100.0
HumanEval_126,100.0,19,19,100.0,92.85714285714286
HumanEval_127,100.0,12,12,75.0,60.71428571428571
HumanEval_128,100.0,22,22,100.0,83.33333333333334
HumanEval_129,100.0,15,15,100.0,84.84848484848484
HumanEval_130,100.0,18,18,100.0,100.0
HumanEval_131,100.0,16,16,100.0,82.35294117647058
HumanEval_132,100.0,21,21,100.0,90.0
HumanEval_133,100.0,21,21,100.0,100.0
HumanEval_134,100.0,19,19,100.0,84.61538461538461
HumanEval_135,100.0,20,20,100.0,84.61538461538461
HumanEval_136,100.0,23,23,100.0,100.0
HumanEval_137,100.0,22,22,100.0,88.88888888888889
HumanEval_138,100.0,21,21,100.0,100.0
HumanEval_139,100.0,15,15,100.0,90.9090909090909
HumanEval_140,100.0,15,15,100.0,90.19607843137256
HumanEval_141,100.0,18,18,100.0,100.0
HumanEval_142,100.0,20,20,100.0,94.44444444444444
HumanEval_143,100.0,15,15,100.0,73.68421052631578
HumanEval_144,100.0,20,20,100.0,100.0
HumanEval_145,100.0,14,14,100.0,60.0
HumanEval_146,100.0,21,21,100.0,95.0
HumanEval_147,100.0,19,19,100.0,85.71428571428571
HumanEval_148,100.0,23,23,100.0,95.0
HumanEval_149,100.0,18,18,100.0,100.0
HumanEval_150,100.0,16,16,100.0,85.71428571428571
HumanEval_151,100.0,21,21,100.0,90.9090909090909
HumanEval_152,100.0,21,21,100.0,100.0
HumanEval_153,100.0,18,18,100.0,94.73684210526315
HumanEval_154,100.0,21,21,100.0,69.23076923076923
HumanEval_155,100.0,21,21,100.0,100.0
HumanEval_156,100.0,18,18,100.0,79.54545454545455
HumanEval_157,100.0,17,17,100.0,81.25
HumanEval_158,100.0,17,17,100.0,100.0
HumanEval_159,100.0,18,18,100.0,80.0
HumanEval_160,100.0,17,17,100.0,100.0
HumanEval_161,100.0,21,21,100.0,89.47368421052632
HumanEval_162,100.0,11,11,100.0,100.0
HumanEval_163,100.0,19,19,100.0,90.0
