problem_id,baseline_validity,spec_validity,hybrid_validity,spec_vs_baseline_validity_diff,hybrid_vs_baseline_validity_diff,baseline_coverage,spec_coverage,hybrid_coverage,spec_vs_baseline_coverage_diff,hybrid_vs_baseline_coverage_diff,baseline_mutation,spec_mutation,hybrid_mutation,spec_vs_baseline_mutation_diff,hybrid_vs_baseline_mutation_diff
HumanEval_0,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_1,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,94.11764705882352,,-5.882352941176478
HumanEval_10,100.0,,,,,100.0,,0.0,,-100.0,78.57142857142857,,,,
HumanEval_100,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_101,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_102,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_103,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_104,70.0,,100.0,,30.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_105,100.0,,100.0,,0.0,100.0,,100.0,,0.0,81.81818181818183,,100.0,,18.181818181818173
HumanEval_106,100.0,,100.0,,0.0,100.0,,100.0,,0.0,96.15384615384616,,96.15384615384616,,0.0
HumanEval_107,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_108,100.0,,100.0,,0.0,100.0,,100.0,,0.0,66.66666666666666,,77.77777777777779,,11.111111111111128
HumanEval_109,100.0,,100.0,,0.0,100.0,,100.0,,0.0,92.3076923076923,,92.3076923076923,,0.0
HumanEval_11,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_110,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_111,100.0,,100.0,,0.0,100.0,,100.0,,0.0,85.71428571428571,,85.71428571428571,,0.0
HumanEval_112,100.0,,90.9090909090909,,-9.090909090909093,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_113,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_114,100.0,,100.0,,0.0,100.0,,100.0,,0.0,88.88888888888889,,88.88888888888889,,0.0
HumanEval_115,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_116,100.0,,100.0,,0.0,100.0,,100.0,,0.0,66.66666666666666,,66.66666666666666,,0.0
HumanEval_117,70.0,,100.0,,30.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_118,100.0,,100.0,,0.0,100.0,,100.0,,0.0,82.14285714285714,,85.71428571428571,,3.5714285714285694
HumanEval_119,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_12,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_120,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_121,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_122,70.0,,100.0,,30.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_123,80.0,,100.0,,20.0,100.0,,100.0,,0.0,62.5,,66.66666666666666,,4.166666666666657
HumanEval_124,80.0,,100.0,,20.0,100.0,,100.0,,0.0,45.83333333333333,,50.0,,4.166666666666671
HumanEval_125,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_126,100.0,,100.0,,0.0,100.0,,100.0,,0.0,92.85714285714286,,92.85714285714286,,0.0
HumanEval_127,60.0,,100.0,,40.0,100.0,,75.0,,-25.0,60.71428571428571,,60.71428571428571,,0.0
HumanEval_128,100.0,,100.0,,0.0,100.0,,100.0,,0.0,83.33333333333334,,83.33333333333334,,0.0
HumanEval_129,100.0,,100.0,,0.0,100.0,,100.0,,0.0,66.66666666666666,,84.84848484848484,,18.181818181818187
HumanEval_13,60.0,,100.0,,40.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_130,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_131,100.0,,100.0,,0.0,100.0,,100.0,,0.0,82.35294117647058,,82.35294117647058,,0.0
HumanEval_132,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.0,,90.0,,0.0
HumanEval_133,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_134,100.0,,100.0,,0.0,100.0,,100.0,,0.0,84.61538461538461,,84.61538461538461,,0.0
HumanEval_135,100.0,,100.0,,0.0,100.0,,100.0,,0.0,84.61538461538461,,84.61538461538461,,0.0
HumanEval_136,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_137,100.0,,100.0,,0.0,100.0,,100.0,,0.0,88.88888888888889,,88.88888888888889,,0.0
HumanEval_138,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_139,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.9090909090909,,90.9090909090909,,0.0
HumanEval_14,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_140,80.0,,100.0,,20.0,100.0,,100.0,,0.0,88.23529411764706,,90.19607843137256,,1.9607843137254974
HumanEval_141,100.0,,100.0,,0.0,100.0,,100.0,,0.0,96.29629629629629,,100.0,,3.7037037037037095
HumanEval_142,100.0,,100.0,,0.0,100.0,,100.0,,0.0,94.44444444444444,,94.44444444444444,,0.0
HumanEval_143,80.0,,100.0,,20.0,100.0,,100.0,,0.0,73.68421052631578,,73.68421052631578,,0.0
HumanEval_144,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_145,,,100.0,,,0.0,,100.0,,100.0,0.0,,60.0,,60.0
HumanEval_146,100.0,,100.0,,0.0,100.0,,100.0,,0.0,95.0,,95.0,,0.0
HumanEval_147,100.0,,100.0,,0.0,100.0,,100.0,,0.0,85.71428571428571,,85.71428571428571,,0.0
HumanEval_148,100.0,,100.0,,0.0,100.0,,100.0,,0.0,95.0,,95.0,,0.0
HumanEval_149,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_15,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_150,70.0,,100.0,,30.0,100.0,,100.0,,0.0,85.71428571428571,,85.71428571428571,,0.0
HumanEval_151,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.9090909090909,,90.9090909090909,,0.0
HumanEval_152,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_153,100.0,,100.0,,0.0,100.0,,100.0,,0.0,94.73684210526315,,94.73684210526315,,0.0
HumanEval_154,80.0,,100.0,,20.0,100.0,,100.0,,0.0,69.23076923076923,,69.23076923076923,,0.0
HumanEval_155,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_156,100.0,,100.0,,0.0,100.0,,100.0,,0.0,79.54545454545455,,79.54545454545455,,0.0
HumanEval_157,80.0,,100.0,,20.0,100.0,,100.0,,0.0,81.25,,81.25,,0.0
HumanEval_158,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_159,100.0,,100.0,,0.0,100.0,,100.0,,0.0,80.0,,80.0,,0.0
HumanEval_16,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_160,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_161,100.0,,100.0,,0.0,100.0,,100.0,,0.0,89.47368421052632,,89.47368421052632,,0.0
HumanEval_162,,,100.0,,,0.0,,100.0,,100.0,0.0,,100.0,,100.0
HumanEval_163,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.0,,90.0,,0.0
HumanEval_17,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_18,100.0,,100.0,,0.0,100.0,,100.0,,0.0,80.0,,90.0,,10.0
HumanEval_19,100.0,,100.0,,0.0,100.0,,100.0,,0.0,83.33333333333334,,95.83333333333334,,12.5
HumanEval_2,40.0,,100.0,,60.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_20,100.0,,100.0,,0.0,100.0,,100.0,,0.0,83.33333333333334,,83.33333333333334,,0.0
HumanEval_21,60.0,,100.0,,40.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_22,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_23,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_24,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_25,100.0,,100.0,,0.0,100.0,,100.0,,0.0,56.25,,56.25,,0.0
HumanEval_26,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_27,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_28,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_29,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_3,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_30,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_31,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_32,70.0,,,,,100.0,,0.0,,-100.0,38.46153846153847,,,,
HumanEval_33,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_34,100.0,,100.0,,0.0,100.0,,100.0,,0.0,0.0,,,,
HumanEval_35,80.0,,100.0,,20.0,100.0,,100.0,,0.0,75.0,,75.0,,0.0
HumanEval_36,80.0,,100.0,,20.0,100.0,,100.0,,0.0,94.44444444444444,,94.44444444444444,,0.0
HumanEval_37,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_38,80.0,,,,,100.0,,0.0,,-100.0,88.88888888888889,,,,
HumanEval_39,60.0,,100.0,,40.0,100.0,,100.0,,0.0,0.0,,67.74193548387096,,67.74193548387096
HumanEval_4,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_40,80.0,,100.0,,20.0,100.0,,100.0,,0.0,80.0,,80.0,,0.0
HumanEval_41,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_42,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_43,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_44,80.0,,100.0,,20.0,100.0,,100.0,,0.0,77.77777777777779,,77.77777777777779,,0.0
HumanEval_45,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_46,100.0,,100.0,,0.0,100.0,,100.0,,0.0,95.83333333333334,,95.83333333333334,,0.0
HumanEval_47,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_48,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_49,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_5,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_50,100.0,,,,,75.0,,0.0,,-75.0,50.0,,,,
HumanEval_51,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_52,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_53,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_54,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_55,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_56,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_57,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_58,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_59,100.0,,100.0,,0.0,92.0,,92.0,,0.0,71.42857142857143,,71.42857142857143,,0.0
HumanEval_6,100.0,,100.0,,0.0,100.0,,100.0,,0.0,78.57142857142857,,78.57142857142857,,0.0
HumanEval_60,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_61,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_62,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_63,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_64,80.0,,100.0,,20.0,100.0,,100.0,,0.0,88.23529411764706,,88.23529411764706,,0.0
HumanEval_65,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_66,100.0,,100.0,,0.0,100.0,,100.0,,0.0,75.0,,75.0,,0.0
HumanEval_67,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_68,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_69,100.0,,100.0,,0.0,100.0,,100.0,,0.0,92.85714285714286,,92.85714285714286,,0.0
HumanEval_7,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_70,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_71,100.0,,100.0,,0.0,100.0,,100.0,,0.0,92.0,,92.0,,0.0
HumanEval_72,100.0,,100.0,,0.0,100.0,,100.0,,0.0,87.5,,87.5,,0.0
HumanEval_73,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_74,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_75,100.0,,100.0,,0.0,100.0,,100.0,,0.0,65.21739130434783,,65.21739130434783,,0.0
HumanEval_76,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.0,,90.0,,0.0
HumanEval_77,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_78,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_79,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_8,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_80,100.0,,100.0,,0.0,100.0,,100.0,,0.0,89.47368421052632,,89.47368421052632,,0.0
HumanEval_81,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_82,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_83,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_84,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_85,80.0,,89.47368421052632,,9.473684210526315,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_86,80.0,,100.0,,20.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_87,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_88,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.0,,90.0,,0.0
HumanEval_89,70.0,,100.0,,30.0,100.0,,100.0,,0.0,93.33333333333333,,93.33333333333333,,0.0
HumanEval_9,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_90,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_91,70.0,,100.0,,30.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_92,100.0,,100.0,,0.0,100.0,,100.0,,0.0,90.9090909090909,,100.0,,9.090909090909093
HumanEval_93,60.0,,100.0,,40.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_94,80.0,,100.0,,20.0,100.0,,100.0,,0.0,86.36363636363636,,86.36363636363636,,0.0
HumanEval_95,100.0,,100.0,,0.0,100.0,,100.0,,0.0,77.14285714285715,,77.14285714285715,,0.0
HumanEval_96,100.0,,100.0,,0.0,100.0,,100.0,,0.0,81.81818181818183,,81.81818181818183,,0.0
HumanEval_97,100.0,,100.0,,0.0,100.0,,100.0,,0.0,100.0,,100.0,,0.0
HumanEval_98,80.0,,100.0,,20.0,100.0,,100.0,,0.0,88.88888888888889,,100.0,,11.111111111111114
HumanEval_99,100.0,,100.0,,0.0,93.0,,93.0,,0.0,50.0,,54.166666666666664,,4.166666666666664
