problem_id,baseline_validity,spec_validity,validity_diff,baseline_coverage,spec_coverage,coverage_diff,baseline_mutation,spec_mutation,mutation_diff
HumanEval_0,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,83.33333333333334,-16.666666666666657
HumanEval_1,100.0,58.333333333333336,-41.666666666666664,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_2,40.0,72.72727272727273,32.727272727272734,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_3,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_4,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_5,100.0,45.45454545454545,-54.54545454545455,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_6,100.0,58.333333333333336,-41.666666666666664,100.0,100.0,0.0,78.57142857142857,78.57142857142857,0.0
HumanEval_7,100.0,72.72727272727273,-27.272727272727266,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_8,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_9,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_10,100.0,54.54545454545454,-45.45454545454546,100.0,100.0,0.0,78.57142857142857,0.0,-78.57142857142857
HumanEval_11,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_12,80.0,78.57142857142857,-1.4285714285714306,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_13,60.0,72.72727272727273,12.727272727272734,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_14,100.0,77.77777777777779,-22.222222222222214,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_15,100.0,71.42857142857143,-28.57142857142857,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_16,100.0,63.63636363636363,-36.36363636363637,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_17,100.0,50.0,-50.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_18,100.0,100.0,0.0,100.0,100.0,0.0,80.0,90.0,10.0
HumanEval_19,100.0,58.333333333333336,-41.666666666666664,100.0,100.0,0.0,83.33333333333334,95.83333333333334,12.5
HumanEval_20,100.0,58.333333333333336,-41.666666666666664,100.0,100.0,0.0,83.33333333333334,83.33333333333334,0.0
HumanEval_21,60.0,54.54545454545454,-5.45454545454546,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_22,100.0,81.81818181818183,-18.181818181818173,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_23,100.0,77.77777777777779,-22.222222222222214,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_24,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_25,100.0,75.0,-25.0,100.0,100.0,0.0,56.25,56.25,0.0
HumanEval_26,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_27,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_28,100.0,77.77777777777779,-22.222222222222214,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_29,100.0,83.33333333333334,-16.666666666666657,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_30,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_31,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_32,70.0,,,100.0,,,38.46153846153847,,
HumanEval_33,100.0,83.33333333333334,-16.666666666666657,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_34,100.0,81.81818181818183,-18.181818181818173,100.0,100.0,0.0,0.0,0.0,0.0
HumanEval_35,80.0,72.72727272727273,-7.272727272727266,100.0,100.0,0.0,75.0,75.0,0.0
HumanEval_36,80.0,100.0,20.0,100.0,100.0,0.0,94.44444444444444,94.44444444444444,0.0
HumanEval_37,100.0,81.81818181818183,-18.181818181818173,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_38,80.0,100.0,20.0,100.0,100.0,0.0,88.88888888888889,94.44444444444444,5.555555555555557
HumanEval_39,60.0,,,100.0,,,0.0,,
HumanEval_40,80.0,83.33333333333334,3.333333333333343,100.0,100.0,0.0,80.0,80.0,0.0
HumanEval_41,100.0,62.5,-37.5,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_42,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_43,100.0,72.72727272727273,-27.272727272727266,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_44,80.0,,,100.0,,,77.77777777777779,,
HumanEval_45,80.0,58.333333333333336,-21.666666666666664,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_46,100.0,80.0,-20.0,100.0,100.0,0.0,95.83333333333334,95.83333333333334,0.0
HumanEval_47,80.0,83.33333333333334,3.333333333333343,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_48,100.0,84.61538461538461,-15.384615384615387,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_49,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_50,100.0,72.72727272727273,-27.272727272727266,75.0,75.0,0.0,50.0,50.0,0.0
HumanEval_51,80.0,81.81818181818183,1.8181818181818272,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_52,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_53,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_54,100.0,81.81818181818183,-18.181818181818173,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_55,100.0,60.0,-40.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_56,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_57,100.0,84.61538461538461,-15.384615384615387,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_58,100.0,84.61538461538461,-15.384615384615387,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_59,100.0,72.72727272727273,-27.272727272727266,92.0,92.0,0.0,71.42857142857143,71.42857142857143,0.0
HumanEval_60,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_61,100.0,84.61538461538461,-15.384615384615387,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_62,100.0,83.33333333333334,-16.666666666666657,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_63,100.0,70.0,-30.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_64,80.0,66.66666666666666,-13.333333333333343,100.0,100.0,0.0,88.23529411764706,88.23529411764706,0.0
HumanEval_65,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_66,100.0,54.54545454545454,-45.45454545454546,100.0,100.0,0.0,75.0,75.0,0.0
HumanEval_67,100.0,50.0,-50.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_68,100.0,72.72727272727273,-27.272727272727266,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_69,100.0,85.71428571428571,-14.285714285714292,100.0,100.0,0.0,92.85714285714286,92.85714285714286,0.0
HumanEval_70,100.0,66.66666666666666,-33.33333333333334,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_71,100.0,100.0,0.0,100.0,100.0,0.0,92.0,92.0,0.0
HumanEval_72,100.0,100.0,0.0,100.0,100.0,0.0,87.5,68.75,-18.75
HumanEval_73,100.0,63.63636363636363,-36.36363636363637,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_74,100.0,100.0,0.0,100.0,100.0,0.0,100.0,88.88888888888889,-11.111111111111114
HumanEval_75,100.0,69.23076923076923,-30.769230769230774,100.0,100.0,0.0,65.21739130434783,52.17391304347826,-13.04347826086957
HumanEval_76,100.0,,,100.0,,,90.0,,
HumanEval_77,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_78,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_79,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_80,100.0,81.81818181818183,-18.181818181818173,100.0,100.0,0.0,89.47368421052632,63.1578947368421,-26.315789473684212
HumanEval_81,100.0,75.0,-25.0,100.0,100.0,0.0,100.0,89.47368421052632,-10.526315789473685
HumanEval_82,100.0,83.33333333333334,-16.666666666666657,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_83,80.0,60.0,-20.0,100.0,100.0,0.0,100.0,100.0,0.0
