problem_id,coverage_before_enhancement
HumanEval_0,100.0
HumanEval_1,100.0
HumanEval_2,100.0
HumanEval_3,100.0
HumanEval_4,100.0
HumanEval_5,100.0
HumanEval_6,100.0
HumanEval_7,100.0
HumanEval_8,100.0
HumanEval_9,100.0
HumanEval_10,100.0
HumanEval_11,100.0
HumanEval_12,100.0
HumanEval_13,100.0
HumanEval_14,100.0
HumanEval_15,100.0
HumanEval_16,100.0
HumanEval_17,100.0
HumanEval_18,90.0
HumanEval_19,100.0
HumanEval_20,100.0
HumanEval_21,91.0
HumanEval_22,100.0
HumanEval_23,100.0
HumanEval_24,100.0
HumanEval_25,100.0
HumanEval_26,100.0
HumanEval_27,100.0
HumanEval_28,100.0
HumanEval_29,100.0
HumanEval_30,100.0
HumanEval_31,100.0
HumanEval_32,85.0
HumanEval_33,100.0
HumanEval_34,100.0
HumanEval_35,100.0
HumanEval_36,100.0
HumanEval_37,100.0
HumanEval_38,62.0
HumanEval_39,93.0
HumanEval_40,100.0
HumanEval_41,100.0
HumanEval_42,100.0
HumanEval_43,100.0
HumanEval_44,100.0
HumanEval_45,100.0
HumanEval_46,100.0
HumanEval_47,90.0
HumanEval_48,100.0
HumanEval_49,100.0
HumanEval_50,75.0
HumanEval_51,100.0
HumanEval_52,100.0
HumanEval_53,100.0
HumanEval_54,100.0
HumanEval_55,91.0
HumanEval_56,100.0
HumanEval_57,100.0
HumanEval_58,100.0
HumanEval_59,100.0
HumanEval_60,100.0
HumanEval_61,100.0
HumanEval_62,100.0
HumanEval_63,100.0
HumanEval_64,100.0
HumanEval_65,80.0
HumanEval_66,100.0
HumanEval_67,100.0
HumanEval_68,100.0
HumanEval_69,100.0
HumanEval_70,100.0
HumanEval_71,100.0
HumanEval_72,100.0
HumanEval_73,100.0
HumanEval_74,100.0
HumanEval_75,100.0
HumanEval_76,79.0
HumanEval_77,100.0
HumanEval_78,100.0
HumanEval_79,100.0
HumanEval_80,100.0
HumanEval_81,100.0
HumanEval_82,100.0
HumanEval_83,100.0
HumanEval_84,100.0
HumanEval_85,100.0
HumanEval_86,100.0
HumanEval_87,100.0
HumanEval_88,100.0
HumanEval_89,100.0
HumanEval_90,100.0
HumanEval_91,100.0
HumanEval_92,100.0
HumanEval_93,100.0
HumanEval_94,100.0
HumanEval_95,100.0
HumanEval_96,95.0
HumanEval_97,100.0
HumanEval_98,100.0
HumanEval_99,100.0
HumanEval_100,100.0
HumanEval_101,100.0
HumanEval_102,100.0
HumanEval_103,100.0
HumanEval_104,100.0
HumanEval_105,100.0
HumanEval_106,100.0
HumanEval_107,100.0
HumanEval_108,100.0
HumanEval_109,100.0
HumanEval_110,100.0
HumanEval_111,100.0
HumanEval_112,100.0
HumanEval_113,100.0
HumanEval_114,100.0
HumanEval_115,100.0
HumanEval_116,100.0
HumanEval_117,100.0
HumanEval_118,100.0
HumanEval_119,100.0
HumanEval_120,100.0
HumanEval_121,100.0
HumanEval_122,100.0
HumanEval_123,100.0
HumanEval_124,84.0
HumanEval_125,100.0
HumanEval_126,100.0
HumanEval_127,91.0
HumanEval_128,100.0
HumanEval_129,N/A
HumanEval_130,100.0
HumanEval_131,100.0
HumanEval_132,100.0
HumanEval_133,100.0
HumanEval_134,100.0
HumanEval_135,100.0
HumanEval_136,100.0
HumanEval_137,80.0
HumanEval_138,100.0
HumanEval_139,80.0
HumanEval_140,100.0
HumanEval_141,100.0
HumanEval_142,100.0
HumanEval_143,100.0
HumanEval_144,100.0
HumanEval_145,100.0
HumanEval_146,100.0
HumanEval_147,100.0
HumanEval_148,100.0
HumanEval_149,100.0
HumanEval_150,100.0
HumanEval_151,100.0
HumanEval_152,100.0
HumanEval_153,100.0
HumanEval_154,100.0
HumanEval_155,100.0
HumanEval_156,90.0
HumanEval_157,100.0
HumanEval_158,100.0
HumanEval_159,100.0
HumanEval_160,100.0
HumanEval_161,100.0
HumanEval_162,0.0
HumanEval_163,100.0
