problem_id,baseline_validity,spec_validity,validity_diff,baseline_coverage,spec_coverage,coverage_diff,baseline_mutation,spec_mutation,mutation_diff
HumanEval_0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,83.33333333333334,-16.666666666666657
HumanEval_1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_2,40.0,80.0,40.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_3,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_4,100.0,100.0,0.0,100.0,75.0,-25.0,100.0,25.0,-75.0
HumanEval_5,100.0,100.0,0.0,100.0,0.0,-100.0,100.0,0.0,-100.0
HumanEval_6,100.0,100.0,0.0,100.0,100.0,0.0,78.57142857142857,78.57142857142857,0.0
HumanEval_7,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_8,100.0,80.0,-20.0,100.0,100.0,0.0,100.0,12.5,-87.5
HumanEval_9,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_10,100.0,100.0,0.0,100.0,100.0,0.0,78.57142857142857,92.85714285714286,14.285714285714292
HumanEval_11,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_12,80.0,100.0,20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_13,60.0,100.0,40.0,100.0,25.0,-75.0,100.0,0.0,-100.0
HumanEval_14,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_17,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_18,100.0,100.0,0.0,100.0,100.0,0.0,80.0,90.0,10.0
HumanEval_19,100.0,100.0,0.0,100.0,100.0,0.0,83.33333333333334,91.66666666666666,8.333333333333314
HumanEval_20,100.0,100.0,0.0,100.0,60.0,-40.0,83.33333333333334,8.333333333333332,-75.00000000000001
HumanEval_21,60.0,100.0,40.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_24,100.0,100.0,0.0,100.0,50.0,-50.0,100.0,0.0,-100.0
HumanEval_25,100.0,100.0,0.0,100.0,46.0,-54.0,56.25,0.0,-56.25
HumanEval_26,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_28,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_30,100.0,10.0,-90.0,100.0,100.0,0.0,100.0,0.0,-100.0
HumanEval_31,100.0,100.0,0.0,100.0,29.0,-71.0,100.0,9.090909090909092,-90.9090909090909
HumanEval_32,70.0,100.0,30.0,100.0,100.0,0.0,38.46153846153847,46.15384615384615,7.692307692307686
HumanEval_35,80.0,100.0,20.0,100.0,100.0,0.0,75.0,75.0,0.0
HumanEval_36,80.0,100.0,20.0,100.0,100.0,0.0,94.44444444444444,94.44444444444444,0.0
HumanEval_37,100.0,100.0,0.0,100.0,40.0,-60.0,100.0,0.0,-100.0
HumanEval_38,80.0,100.0,20.0,100.0,100.0,0.0,88.88888888888889,94.44444444444444,5.555555555555557
HumanEval_39,60.0,100.0,40.0,100.0,100.0,0.0,0.0,64.51612903225806,64.51612903225806
HumanEval_41,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_42,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_43,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_44,80.0,100.0,20.0,100.0,100.0,0.0,77.77777777777779,77.77777777777779,0.0
HumanEval_45,80.0,100.0,20.0,100.0,50.0,-50.0,100.0,0.0,-100.0
HumanEval_46,100.0,100.0,0.0,100.0,38.0,-62.0,95.83333333333334,4.166666666666666,-91.66666666666667
HumanEval_48,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_49,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_50,100.0,100.0,0.0,75.0,75.0,0.0,50.0,50.0,0.0
HumanEval_51,80.0,100.0,20.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_52,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_53,100.0,100.0,0.0,100.0,50.0,-50.0,100.0,0.0,-100.0
HumanEval_54,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
HumanEval_55,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
