problem_id,baseline_validity,spec_validity,baseline_coverage,spec_coverage,baseline_mutation,spec_mutation,reason
HumanEval_15,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_16,100.0,100.0,100.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_22,100.0,10.0,100.0,0.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_23,100.0,100.0,100.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_27,100.0,100.0,100.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_29,100.0,100.0,100.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_33,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_34,100.0,100.0,100.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_40,80.0,30.0,100.0,100.0,80.0,,Excluded due to missing/invalid metrics
HumanEval_47,80.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_59,100.0,0.0,92.0,92.0,71.42857142857143,,Excluded due to missing/invalid metrics
HumanEval_60,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_62,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_69,100.0,0.0,100.0,100.0,92.85714285714286,,Excluded due to missing/invalid metrics
HumanEval_82,100.0,30.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_85,80.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_86,80.0,,100.0,,100.0,,Excluded due to missing/invalid metrics
HumanEval_92,100.0,0.0,100.0,100.0,90.9090909090909,,Excluded due to missing/invalid metrics
HumanEval_106,100.0,0.0,100.0,100.0,96.15384615384616,,Excluded due to missing/invalid metrics
HumanEval_107,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_108,100.0,0.0,100.0,100.0,66.66666666666666,,Excluded due to missing/invalid metrics
HumanEval_114,100.0,0.0,100.0,100.0,88.88888888888889,,Excluded due to missing/invalid metrics
HumanEval_130,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_131,100.0,0.0,100.0,100.0,82.35294117647058,,Excluded due to missing/invalid metrics
HumanEval_136,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_138,100.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_139,100.0,0.0,100.0,100.0,90.9090909090909,,Excluded due to missing/invalid metrics
HumanEval_145,,0.0,0.0,100.0,0.0,,Excluded due to missing/invalid metrics
HumanEval_158,80.0,0.0,100.0,100.0,100.0,,Excluded due to missing/invalid metrics
HumanEval_162,,100.0,0.0,100.0,0.0,100.0,Excluded due to missing/invalid metrics
