problem_id,status,coverage_before,coverage_after
HumanEval_0,already_100,100.0,100.0
HumanEval_1,already_100,100.0,100.0
HumanEval_2,already_100,100.0,100.0
HumanEval_3,already_100,100.0,100.0
HumanEval_4,success,89.0,100.0
HumanEval_5,already_100,100.0,100.0
HumanEval_6,already_100,100.0,100.0
HumanEval_7,already_100,100.0,100.0
HumanEval_8,already_100,100.0,100.0
HumanEval_9,already_100,100.0,100.0
HumanEval_10,already_100,100.0,100.0
HumanEval_11,already_100,100.0,100.0
HumanEval_12,already_100,100.0,100.0
HumanEval_13,already_100,100.0,100.0
HumanEval_14,already_100,100.0,100.0
HumanEval_15,already_100,100.0,100.0
HumanEval_16,already_100,100.0,100.0
HumanEval_17,already_100,100.0,100.0
HumanEval_18,already_100,100.0,100.0
HumanEval_19,already_100,100.0,100.0
HumanEval_20,already_100,100.0,100.0
HumanEval_21,success,91.0,100.0
HumanEval_22,already_100,100.0,100.0
HumanEval_23,already_100,100.0,100.0
HumanEval_24,already_100,100.0,100.0
HumanEval_25,already_100,100.0,100.0
HumanEval_26,already_100,100.0,100.0
HumanEval_27,already_100,100.0,100.0
HumanEval_28,already_100,100.0,100.0
HumanEval_29,already_100,100.0,100.0
HumanEval_30,already_100,100.0,100.0
HumanEval_31,already_100,100.0,100.0
HumanEval_32,llm_failed,88.0,88.0
HumanEval_33,already_100,100.0,100.0
HumanEval_34,already_100,100.0,100.0
HumanEval_35,already_100,100.0,100.0
HumanEval_36,already_100,100.0,100.0
HumanEval_37,already_100,100.0,100.0
HumanEval_38,coverage_decreased,62.0,62.0
HumanEval_39,coverage_decreased,93.0,93.0
HumanEval_40,already_100,100.0,100.0
HumanEval_41,already_100,100.0,100.0
HumanEval_42,already_100,100.0,100.0
HumanEval_43,already_100,100.0,100.0
HumanEval_44,already_100,100.0,100.0
HumanEval_45,already_100,100.0,100.0
HumanEval_46,already_100,100.0,100.0
HumanEval_47,success,90.0,100.0
HumanEval_48,already_100,100.0,100.0
HumanEval_49,already_100,100.0,100.0
HumanEval_50,coverage_decreased,75.0,75.0
HumanEval_51,already_100,100.0,100.0
HumanEval_52,already_100,100.0,100.0
HumanEval_53,already_100,100.0,100.0
HumanEval_54,already_100,100.0,100.0
HumanEval_55,success,91.0,100.0
HumanEval_56,already_100,100.0,100.0
HumanEval_57,already_100,100.0,100.0
HumanEval_58,already_100,100.0,100.0
HumanEval_59,already_100,100.0,100.0
HumanEval_60,already_100,100.0,100.0
HumanEval_61,already_100,100.0,100.0
HumanEval_62,already_100,100.0,100.0
HumanEval_63,already_100,100.0,100.0
HumanEval_64,already_100,100.0,100.0
HumanEval_65,success,80.0,100.0
HumanEval_66,already_100,100.0,100.0
HumanEval_67,already_100,100.0,100.0
HumanEval_68,already_100,100.0,100.0
HumanEval_69,already_100,100.0,100.0
HumanEval_70,already_100,100.0,100.0
HumanEval_71,already_100,100.0,100.0
HumanEval_72,already_100,100.0,100.0
HumanEval_73,already_100,100.0,100.0
HumanEval_74,already_100,100.0,100.0
HumanEval_75,already_100,100.0,100.0
HumanEval_76,merge_failed,79.0,79.0
HumanEval_77,already_100,100.0,100.0
HumanEval_78,already_100,100.0,100.0
