problem_id,validity_rate,passing_tests,total_tests,coverage,mutation_score
HumanEval_0,100.0,10,10,100.0,100.0
HumanEval_1,100.0,10,10,100.0,100.0
HumanEval_2,100.0,10,10,100.0,100.0
HumanEval_3,100.0,10,10,100.0,100.0
HumanEval_4,100.0,10,10,100.0,100.0
HumanEval_5,100.0,10,10,100.0,100.0
HumanEval_6,80.0,8,10,100.0,0.0
HumanEval_7,80.0,8,10,100.0,0.0
HumanEval_8,100.0,10,10,100.0,100.0
HumanEval_9,100.0,10,10,100.0,100.0
HumanEval_10,80.0,8,10,100.0,0.0
HumanEval_11,100.0,10,10,100.0,100.0
HumanEval_12,80.0,8,10,100.0,0.0
HumanEval_13,80.0,8,10,100.0,0.0
HumanEval_14,100.0,10,10,100.0,100.0
HumanEval_15,100.0,10,10,100.0,100.0
HumanEval_16,100.0,10,10,100.0,0.0
HumanEval_17,100.0,10,10,100.0,100.0
HumanEval_18,100.0,10,10,100.0,90.0
HumanEval_19,100.0,10,10,100.0,95.83333333333334
HumanEval_20,100.0,10,10,100.0,83.33333333333334
HumanEval_21,80.0,8,10,100.0,0.0
HumanEval_22,100.0,10,10,100.0,0.0
HumanEval_23,100.0,10,10,100.0,0.0
HumanEval_24,100.0,10,10,100.0,100.0
HumanEval_25,100.0,10,10,100.0,56.25
HumanEval_26,100.0,10,10,100.0,100.0
HumanEval_27,100.0,10,10,100.0,0.0
HumanEval_28,100.0,10,10,100.0,100.0
HumanEval_29,100.0,10,10,100.0,0.0
HumanEval_30,100.0,10,10,100.0,100.0
HumanEval_31,100.0,10,10,100.0,100.0
HumanEval_32,100.0,10,10,100.0,53.84615384615385
HumanEval_33,100.0,10,10,100.0,100.0
HumanEval_34,100.0,10,10,100.0,0.0
HumanEval_35,100.0,10,10,100.0,75.0
HumanEval_36,40.0,4,10,100.0,0.0
HumanEval_37,100.0,10,10,100.0,100.0
HumanEval_38,70.0,7,10,100.0,0.0
HumanEval_39,80.0,8,10,100.0,0.0
HumanEval_40,100.0,10,10,100.0,90.0
HumanEval_41,100.0,10,10,100.0,100.0
HumanEval_42,100.0,10,10,100.0,100.0
